Date,YAHOO/INDEX_IBEX - Adjusted Close_x,YAHOO/INDEX_DJI - Adjusted Close,YAHOO/INDEX_STOXX50E - Adjusted Close,YAHOO/INDEX_N225 - Adjusted Close,YAHOO/INDEX_FCHI - Adjusted Close,YAHOO/INDEX_GDAXI - Adjusted Close,YAHOO/INDEX_IBEX - Adjusted Close_y
2005-01-03,9124.090364,10729.429688,2970.02,,3855.679932,4291.529785,9119.990759
2005-01-04,9119.990759,10630.780273,2971.12,11517.75,3863.300049,4290.5,9024.391246
2005-01-05,9024.391246,10597.830078,2947.19,11437.519531,3829.360107,4258.240234,
2005-01-06,,10622.879883,2966.24,11492.259766,3856.47998,4300.939941,9041.090448
2005-01-07,9041.090448,10603.959961,2979.81,11433.240234,3877.959961,4316.399902,9028.490852
2005-01-10,9028.490852,10621.030273,2977.21,,3877.820068,4307.370117,8966.391305
2005-01-11,8966.391305,10556.219727,2949.29,11539.990234,3848.98999,4258.009766,8945.691131
2005-01-12,8945.691131,10617.780273,2924.01,11453.389648,3816.139893,4208.819824,9016.790668
2005-01-13,9016.790668,10505.830078,2936.32,11358.219727,3834.110107,4212.140137,9025.090464
2005-01-14,9025.090464,10558.0,2948.22,11438.389648,3854.600098,4232.359863,9094.391175
2005-01-17,9094.391175,,2963.06,11487.099609,3881.439941,4245.509766,9096.891173
2005-01-18,9096.891173,10628.790039,2962.43,11423.259766,3875.02002,4250.709961,9087.590401
2005-01-19,9087.590401,10539.969727,2959.9,11405.339844,3869.01001,4245.549805,9017.691058
2005-01-20,9017.691058,10471.469727,2937.71,11284.769531,3842.439941,4220.430176,8999.391272
2005-01-21,8999.391272,10392.990234,2940.87,11238.370117,3854.189941,4213.700195,8967.090523
2005-01-24,8967.090523,10368.610352,2937.83,11289.490234,3848.709961,4201.890137,9033.191042
2005-01-25,9033.191042,10461.55957,2958.61,11276.910156,3882.040039,4233.950195,9058.090431
2005-01-26,9058.090431,10498.589844,2956.43,11376.570312,3879.820068,4214.120117,9125.290558
2005-01-27,9125.290558,10467.400391,2970.81,11341.30957,3891.399902,4216.410156,9139.39113
2005-01-28,9139.39113,10427.200195,2955.89,11320.580078,3870.350098,4201.810059,9223.891044
2005-01-31,9223.891044,10489.94043,2984.59,11387.589844,3913.689941,4254.850098,9256.99062
2005-02-01,9256.99062,10551.94043,3008.85,11384.400391,3939.179932,4279.970215,9306.990569
2005-02-02,9306.990569,10596.790039,3022.34,11407.139648,3951.719971,4296.310059,9310.390957
2005-02-03,9310.390957,10593.099609,3010.39,11389.349609,3928.939941,4281.640137,9422.490452
2005-02-04,9422.490452,10716.129883,3037.14,11360.400391,3958.01001,4339.279785,9461.690608
2005-02-07,9461.690608,10715.759766,3051.97,11499.860352,3981.899902,4366.350098,9479.19059
2005-02-08,9479.19059,10724.629883,3055.9,11490.429688,3980.77002,4371.390137,9450.790228
2005-02-09,9450.790228,10664.110352,3044.36,11473.349609,3969.620117,4353.149902,9451.190619
2005-02-10,9451.190619,10749.610352,3044.0,11553.55957,3970.370117,4342.009766,9588.290089
2005-02-11,9588.290089,10796.009766,3080.08,,4016.75,4387.799805,9584.990288
2005-02-14,9584.990288,10791.129883,3075.76,11632.200195,4012.110107,4386.399902,9634.290042
2005-02-15,9634.290042,10837.320312,3086.95,11646.490234,4030.449951,4402.029785,9575.589907
2005-02-16,9575.589907,10834.879883,3068.55,11601.679688,4009.02002,4368.77002,9585.690482
2005-02-17,9585.690482,10754.259766,3067.34,11582.719727,4005.5,4369.680176,9570.089912
2005-02-18,9570.089912,10785.219727,3072.04,11660.120117,4029.02002,4359.470215,9464.590019
2005-02-21,9464.590019,,3063.64,11651.019531,4022.620117,4353.339844,9350.29033
2005-02-22,9350.29033,10611.200195,3045.24,11597.709961,4002.330078,4323.209961,9354.090131
2005-02-23,9354.090131,10673.790039,3028.08,11500.179688,3977.189941,4310.660156,9352.590133
2005-02-24,9352.590133,10748.790039,3024.8,11531.150391,3977.669922,4304.290039,9439.69063
2005-02-25,9439.69063,10841.599609,3062.72,11658.25,4034.570068,4348.640137,9390.990484
2005-02-28,9390.990484,10766.230469,3058.32,11740.599609,4027.159912,4350.490234,9472.290207
2005-03-01,9472.290207,10830.0,3078.44,11780.530273,4054.97998,4383.620117,9443.59004
2005-03-02,9443.59004,10811.969727,3082.71,11813.709961,4062.719971,4393.430176,9418.790261
2005-03-03,9418.790261,10833.030273,3078.1,11856.459961,4061.350098,4373.27002,9537.990335
2005-03-04,9537.990335,10940.549805,3106.86,11873.049805,4091.580078,4423.52002,9545.890718
2005-03-07,9545.890718,10936.860352,3114.54,11925.360352,4108.0,4428.089844,9480.190589
2005-03-08,9480.190589,10912.620117,3097.34,11886.910156,4085.379883,4396.5,9410.290269
2005-03-09,9410.290269,10805.620117,3081.99,11966.69043,4066.689941,4375.600098,9319.390947
2005-03-10,9319.390947,10851.509766,3053.66,11864.910156,4038.209961,4337.680176,9330.190741
2005-03-11,9330.190741,10774.360352,3060.36,11923.889648,4049.179932,4360.490234,9296.49058
2005-03-14,9296.49058,10804.509766,3060.73,11850.25,4048.550049,4367.299805,9354.690716
2005-03-15,9354.690716,10745.099609,3083.73,11821.089844,4077.73999,4387.689941,9201.190872
2005-03-16,9201.190872,10633.070312,3032.13,11873.179688,4019.399902,4309.109863,9235.790446
2005-03-17,9235.790446,10626.349609,3039.8,11775.5,4032.070068,4315.919922,9263.891004
2005-03-18,9263.891004,10629.669922,3053.54,11879.80957,4050.77002,4327.180176,9225.391043
2005-03-21,9225.391043,10565.389648,3038.14,,4033.0,4296.359863,9299.190773
2005-03-22,9299.190773,10470.509766,3050.44,11841.969727,4047.179932,4320.689941,9252.090234
2005-03-23,9252.090234,10456.019531,3036.85,11739.120117,4032.409912,4317.200195,9309.290372
2005-03-24,9309.290372,10442.870117,3060.67,11745.969727,4078.310059,4343.600098,
2005-03-25,,,,11761.099609,,,
2005-03-28,,10485.650391,,11792.299805,,,9324.090161
2005-03-29,9324.090161,10405.700195,3069.35,11599.820312,4081.649902,4351.890137,9280.090206
2005-03-30,9280.090206,10540.929688,3056.25,11565.879883,4064.610107,4347.52002,9258.790423
2005-03-31,9258.790423,10503.759766,3055.73,11668.950195,4067.780029,4348.77002,9289.490587
2005-04-01,9289.490587,10404.299805,3061.11,11723.629883,4080.080078,4373.529785,9205.990672
2005-04-04,9205.990672,10421.139648,3042.17,11667.540039,4052.320068,4341.390137,9298.090188
2005-04-05,9298.090188,10458.459961,3064.07,11774.30957,4087.939941,4362.609863,9382.090103
2005-04-06,9382.090103,10486.019531,3076.23,11827.160156,4106.990234,4379.180176,9392.390874
2005-04-07,9392.390874,10546.320312,3090.72,11810.990234,4124.370117,4389.52002,9385.790294
2005-04-08,9385.790294,10461.339844,3088.92,11874.75,4124.290039,4400.680176,9334.790346
2005-04-11,9334.790346,10448.55957,3080.6,11745.639648,4117.620117,4396.089844,9303.090183
2005-04-12,9303.090183,10507.969727,3065.18,11670.299805,4096.810059,4372.120117,9373.890892
2005-04-13,9373.890892,10403.929688,3080.54,11637.519531,4116.850098,4405.689941,9364.490511
2005-04-14,9364.490511,10278.75,3075.33,11563.169922,4111.109863,4402.049805,9155.190919
2005-04-15,9155.190919,10087.509766,3013.79,11370.69043,4032.280029,4312.25,9025.790659
2005-04-18,9025.790659,10071.25,2947.78,10938.44043,3949.590088,4202.200195,9046.191029
2005-04-19,9046.191029,10127.410156,2957.36,11065.860352,3962.389893,4204.609863,9016.590473
2005-04-20,9016.590473,10012.360352,2944.33,11088.580078,3950.02002,4178.620117,9018.691057
2005-04-21,9018.691057,10218.599609,2950.34,10984.389648,3951.02002,4193.700195,9096.391173
2005-04-22,9096.391173,10157.709961,2976.39,11045.950195,3980.179932,4223.040039,9106.190968
2005-04-25,9106.190968,10242.469727,2987.05,11073.769531,3993.070068,4246.959961,9083.690991
2005-04-26,9083.690991,10151.129883,2983.23,11035.830078,3993.040039,4233.759766,8984.990896
2005-04-27,8984.990896,10198.799805,2942.62,11005.419922,3927.679932,4189.02002,8985.391286
2005-04-28,8985.391286,10070.370117,2930.87,11008.900391,3911.449951,4178.100098,9001.590488
2005-04-29,9001.590488,10192.509766,2930.1,,3911.709961,4184.839844,9119.89115
2005-05-02,9119.89115,10251.700195,2949.09,11002.110352,3938.77002,4224.02002,9168.290515
2005-05-03,9168.290515,10256.950195,2962.59,,3955.929932,4245.540039,9195.690878
2005-05-04,9195.690878,10384.639648,2981.04,,3987.629883,4264.350098,9235.490642
2005-05-05,9235.490642,10340.379883,3004.52,,4019.350098,4299.509766,9263.090223
2005-05-06,9263.090223,10345.400391,3019.26,11192.169922,4033.459961,4311.060059,9223.490654
2005-05-09,9223.490654,10384.339844,3007.09,11171.320312,4020.189941,4292.410156,9146.090342
2005-05-10,9146.090342,10281.110352,2983.42,11159.459961,4000.25,4251.129883,9149.891119
2005-05-11,9149.891119,10300.25,2970.5,11120.700195,3979.530029,4244.160156,9213.090274
2005-05-12,9213.090274,10189.480469,2993.09,11077.94043,4015.649902,4267.049805,9222.490655
2005-05-13,9222.490655,10140.120117,2994.52,11049.110352,4017.889893,4275.700195,9217.690855
2005-05-16,9217.690855,10252.290039,2988.16,10947.219727,4010.97998,4262.180176,9213.290469
2005-05-17,9213.290469,10331.879883,2983.84,10825.389648,4006.189941,4251.77002,9364.190707
2005-05-18,9364.190707,10464.450195,3036.3,10835.410156,4073.149902,4324.600098,9400.090084
2005-05-19,9400.090084,10493.19043,3051.79,11077.160156,4085.97998,4360.419922,9368.490507
2005-05-20,9368.490507,10471.910156,3050.45,11037.290039,4096.180176,4360.680176,9396.990478
2005-05-23,9396.990478,10523.55957,3070.98,11158.650391,4118.370117,4406.950195,9372.390894
2005-05-24,9372.390894,10503.679688,3066.55,11133.650391,4102.060059,4396.640137,9351.290329
2005-05-25,9351.290329,10457.799805,3059.84,11014.429688,4100.27002,4389.540039,9417.890848
2005-05-26,9417.890848,10537.599609,3086.08,11027.94043,4137.279785,4436.600098,9381.490494
2005-05-27,9381.490494,10542.549805,3084.0,11192.330078,4131.830078,4444.709961,9466.790212
2005-05-30,9466.790212,,3096.54,11266.330078,4134.870117,4480.430176,9427.090057
2005-05-31,9427.090057,10467.480469,3076.7,11276.589844,4120.72998,4460.629883,9550.790127
2005-06-01,9550.790127,10549.870117,3125.88,11329.669922,4178.25,4527.169922,9539.690529
