@relation "5DayNormal"

@attribute Date DATE "yy-MM-dd"
@attribute Ibex5 NUMERIC
@attribute DowJones5 NUMERIC
@attribute Stoxx5 NUMERIC
@attribute Nikkei5 NUMERIC
@attribute Francia5 NUMERIC
@attribute Alemania5 NUMERIC
@attribute Ibex4 NUMERIC
@attribute DowJones4 NUMERIC
@attribute Stoxx4 NUMERIC
@attribute Nikkei4 NUMERIC
@attribute Francia4 NUMERIC
@attribute Alemania4 NUMERIC
@attribute Ibex3 NUMERIC
@attribute DowJones3 NUMERIC
@attribute Stoxx3 NUMERIC
@attribute Nikkei3 NUMERIC
@attribute Francia3 NUMERIC
@attribute Alemania3 NUMERIC
@attribute Ibex2 NUMERIC
@attribute DowJones2 NUMERIC
@attribute Stoxx2 NUMERIC
@attribute Nikkei2 NUMERIC
@attribute Francia2 NUMERIC
@attribute Alemania2 NUMERIC
@attribute Ibex1 NUMERIC
@attribute DowJones1 NUMERIC
@attribute Stoxx1 NUMERIC
@attribute Nikkei1 NUMERIC
@attribute Francia1 NUMERIC
@attribute Alemania1 NUMERIC
@attribute Close {0.0, 1.0}

@data
2000-01-20,11047.599609,11351.299805,4778.71,19008.009766,5709.740234000001,7112.660156,10969.299805,11251.709961,4719.29,18878.089844,5681.319824,6992.75,10955.0,11008.169922,4718.76,19056.710938,5690.859863000001,6931.990234000001,10863.5,11029.889648,4653.61,18895.529297,5597.5,6809.640137,11031.400391,11032.990234,4721.03,19111.189453,5646.319824,6969.370117,1.0
2000-01-21,10969.299805,11251.709961,4719.29,18878.089844,5681.319824,6992.75,10955.0,11008.169922,4718.76,19056.710938,5690.859863000001,6931.990234000001,10863.5,11029.889648,4653.61,18895.529297,5597.5,6809.640137,11031.400391,11032.990234,4721.03,19111.189453,5646.319824,6969.370117,11206.599609,11028.019531,4786.82,19209.720703,5688.350098,7126.129883,0.0
2000-01-24,10955.0,11008.169922,4718.76,19056.710938,5690.859863000001,6931.990234000001,10863.5,11029.889648,4653.61,18895.529297,5597.5,6809.640137,11031.400391,11032.990234,4721.03,19111.189453,5646.319824,6969.370117,11206.599609,11028.019531,4786.82,19209.720703,5688.350098,7126.129883,11009.299805,10738.870117,4781.94,19434.779297,5731.049805,7066.600098000001,0.0
2000-01-25,10863.5,11029.889648,4653.61,18895.529297,5597.5,6809.640137,11031.400391,11032.990234,4721.03,19111.189453,5646.319824,6969.370117,11206.599609,11028.019531,4786.82,19209.720703,5688.350098,7126.129883,11009.299805,10738.870117,4781.94,19434.779297,5731.049805,7066.600098000001,10835.099609,10940.530273,4684.48,19539.699219,5659.810059,6835.600098000001,1.0
2000-01-26,11031.400391,11032.990234,4721.03,19111.189453,5646.319824,6969.370117,11206.599609,11028.019531,4786.82,19209.720703,5688.350098,7126.129883,11009.299805,10738.870117,4781.94,19434.779297,5731.049805,7066.600098000001,10835.099609,10940.530273,4684.48,19539.699219,5659.810059,6835.600098000001,10970.0,11041.049805,4792.04,19423.380859,5773.419922,7050.459961,1.0
2000-01-27,11206.599609,11028.019531,4786.82,19209.720703,5688.350098,7126.129883,11009.299805,10738.870117,4781.94,19434.779297,5731.049805,7066.600098000001,10835.099609,10940.530273,4684.48,19539.699219,5659.810059,6835.600098000001,10970.0,11041.049805,4792.04,19423.380859,5773.419922,7050.459961,11195.599609,11003.200195,4902.12,19578.910156,5946.859863000001,7171.950195,1.0
2000-01-28,11009.299805,10738.870117,4781.94,19434.779297,5731.049805,7066.600098000001,10835.099609,10940.530273,4684.48,19539.699219,5659.810059,6835.600098000001,10970.0,11041.049805,4792.04,19423.380859,5773.419922,7050.459961,11195.599609,11003.200195,4902.12,19578.910156,5946.859863000001,7171.950195,11544.099609,11013.44043,5046.12,19786.419922,6149.669922,7354.259765999999,1.0
2000-01-31,10835.099609,10940.530273,4684.48,19539.699219,5659.810059,6835.600098000001,10970.0,11041.049805,4792.04,19423.380859,5773.419922,7050.459961,11195.599609,11003.200195,4902.12,19578.910156,5946.859863000001,7171.950195,11544.099609,11013.44043,5046.12,19786.419922,6149.669922,7354.259765999999,11580.099609,10963.799805,5119.79,19763.130859,6275.720215,7444.609863,0.0
2000-02-01,10970.0,11041.049805,4792.04,19423.380859,5773.419922,7050.459961,11195.599609,11003.200195,4902.12,19578.910156,5946.859863000001,7171.950195,11544.099609,11013.44043,5046.12,19786.419922,6149.669922,7354.259765999999,11580.099609,10963.799805,5119.79,19763.130859,6275.720215,7444.609863,11506.799805,10905.790039,5041.08,19945.429688,6203.580078,7296.319823999999,1.0
2000-02-02,11195.599609,11003.200195,4902.12,19578.910156,5946.859863000001,7171.950195,11544.099609,11013.44043,5046.12,19786.419922,6149.669922,7354.259765999999,11580.099609,10963.799805,5119.79,19763.130859,6275.720215,7444.609863,11506.799805,10905.790039,5041.08,19945.429688,6203.580078,7296.319823999999,11834.799805,10957.599609,5176.17,19868.880859,6297.660156,7549.879883,1.0
2000-02-03,11544.099609,11013.44043,5046.12,19786.419922,6149.669922,7354.259765999999,11580.099609,10963.799805,5119.79,19763.130859,6275.720215,7444.609863,11506.799805,10905.790039,5041.08,19945.429688,6203.580078,7296.319823999999,11834.799805,10957.599609,5176.17,19868.880859,6297.660156,7549.879883,11939.5,10699.160156,5191.79,20007.769531,6271.600098,7629.109863,1.0
